bank_code;bank_name;bank_address;bank_brand
135;PT BPD SULAWESI TENGGARA;Jl. May. Jend. Sutoyo No. 95  Kendari  Sulawesi Tenggara;SULTENGGARA
137;​PT BPD BANTEN Tbk;​Jl. Juhdi 28 RT 005 RW 007 Kel. Cimundang  Serang;BANTEN
031;CITIBANK N.A.;Citibank Tower Lt. 8-11 Pacific Century Place SCBD Lot. 10 Jl. Jend. Sudirman No.52-53 Jakarta 12190;CITIBANK
032;JP MORGAN CHASE BANK NA;Gedung The Energy Lt. 5 & 6  SCBD Lot 11A  JL. Jend. Sudirman Kav 52-53  Jakarta 12190;JP MORGAN
033;BANK OF AMERICA N.A;Gedung Bursa Efek Jakarta  Tower 2  Lt 23  Jl. Sudirman Kav. 52-53  Jakarta;BANK OF AMERICA
040;BANGKOK BANK PCL;Jl. MH. Thamrin No. 3  Jakarta;BANGKOK
042;MUFG BANK LTD​;Gedung Mid Plaza Lt.1-3  Jl. Jend Sudirman Kav. 10-11  Jakarta 10220;MUFG
050;STANDARD CHARTERED BANK;Menara Standard Chartered Bank  Jl. Prof. Dr. Satrio No. 164  Jakarta 12950;STANCHART
067;DEUTSCHE BANK AG;Deutsche Bank Building  Jl. Imam Bonjol No. 80  Jakarta;DEUTSCHE
069;BANK OF CHINA (HONG KONG) LIMITED​;Wisma Tamara  Suite 101-201  Jl. Jend. Sudirman Kav. 24  Jakarta;BANK OF CHINA
